French,English
partie,part
chercher,search
seulement,only
pensais,thought
aide,help
mois,month
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
longtemps,long time
vont,will
pendant,while
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
affaire,case
type,type
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
pardon,sorry
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
aimerais,would like to
mari,husband
enfin,finally
eau,water
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
